date,operating_reserve(MW)
20200101,2790
20200102,3080
20200103,3384
20200104,3636
20200105,2695
20200106,3009
20200107,3104
20200108,3235
20200109,3131
20200110,3298
20200111,3851
20200112,3091
20200113,3157
20200114,3412
20200115,3386
20200116,3005
20200117,3399
20200118,3160
20200119,3334
20200120,3183
20200121,3259
20200122,3887
20200123,3344
20200124,3483
20200125,3551
20200126,3528
20200127,3704
20200128,3653
20200129,3304
20200130,2991
20200131,3361
20200201,3890
20200202,3247
20200203,4088
20200204,3302
20200205,3643
20200206,3347
20200207,3767
20200208,3660
20200209,3084
20200210,3146
20200211,3219
20200212,3348
20200213,3246
20200214,3123
20200215,2996
20200216,3985
20200217,3744
20200218,4249
20200219,3564
20200220,3132
20200221,3138
20200222,3674
20200223,3739
20200224,3010
20200225,3124
20200226,3167
20200227,4253
20200228,3286
20200229,2806
20200301,3321
20200302,3295
20200303,3106
20200304,3758
20200305,3518
20200306,3179
20200307,3712
20200308,3379
20200309,3209
20200310,3931
20200311,3255
20200312,3002
20200313,3098
20200314,3826
20200315,3493
20200316,4820
20200317,4143
20200318,4153
20200319,3085
20200320,3700
20200321,3020
20200322,3086
20200323,3771
20200324,4125
20200325,3577
20200326,3187
20200327,3264
20200328,4066
20200329,3489
20200330,3508
20200331,3322
20200401,4095
20200402,4108
20200403,3749
20200404,4414
20200405,4249
20200406,4054
20200407,4037
20200408,3364
20200409,3678
20200410,4650
20200411,3179
20200412,2809
20200413,3328
20200414,3563
20200415,3497
20200416,3144
20200417,3609
20200418,3489
20200419,3028
20200420,4091
20200421,4376
20200422,4031
20200423,3948
20200424,3948
20200425,3166
20200426,3120
20200427,3810
20200428,4687
20200429,3346
20200430,4864
20200501,3512
20200502,3414
20200503,2967
20200504,3476
20200505,3400
20200506,3426
20200507,3736
20200508,3414
20200509,3823
20200510,3015
20200511,3350
20200512,3766
20200513,4199
20200514,3382
20200515,3622
20200516,3947
20200517,4241
20200518,4085
20200519,4626
20200520,4951
20200521,3983
20200522,3675
20200523,4061
20200524,4289
20200525,3942
20200526,3563
20200527,4932
20200528,5261
20200529,4098
20200530,4186
20200531,3430
20200601,3633
20200602,4071
20200603,4163
20200604,3754
20200605,3682
20200606,4240
20200607,4535
20200608,4580
20200609,4515
20200610,4367
20200611,3986
20200612,3586
20200613,3764
20200614,4572
20200615,5033
20200616,4022
20200617,3975
20200618,4191
20200619,3862
20200620,3675
20200621,3484
20200622,3849
20200623,3768
20200624,4086
20200625,3379
20200626,3907
20200627,3620
20200628,3412
20200629,4013
20200630,4646
20200701,4029
20200702,4458
20200703,4131
20200704,4287
