date,operating_reserve(MW),operating_reserve_ratio
2021/01/01,2767.0,10.76
2021/01/02,2936.0,11.52
2021/01/03,3037.0,11.92
2021/01/04,3032.0,10.2
2021/01/05,3067.0,10.21
2021/01/06,3102.0,10.23
2021/01/07,3102.0,10.17
2021/01/08,3105.0,10.21
2021/01/09,3202.0,11.41
2021/01/10,2906.0,10.66
2021/01/11,3093.0,10.08
2021/01/12,3116.0,10.17
2021/01/13,3114.0,10.38
2021/01/14,3132.0,10.43
2021/01/15,3310.0,11.2
2021/01/16,3046.0,11.23
2021/01/17,3035.0,11.36
2021/01/18,3157.0,10.55
2021/01/19,3159.0,10.53
2021/01/20,3149.0,10.5
2021/01/21,3074.0,10.15
2021/01/22,3097.0,10.29
2021/01/23,3203.0,11.77
2021/01/24,3073.0,11.95
2021/01/25,3269.0,10.97
2021/01/26,3219.0,10.75
2021/01/27,3064.0,10.36
2021/01/28,3286.0,11.12
2021/01/29,3203.0,10.94
2021/01/30,3447.0,12.93
2021/01/31,2906.0,11.41
2021/02/01,2938.0,10.12
2021/02/02,3045.0,10.24
2021/02/03,3006.0,10.15
2021/02/04,3132.0,10.56
2021/02/05,3060.0,10.45
2021/02/06,3066.0,11.49
2021/02/07,2763.0,10.66
2021/02/08,3047.0,10.92
2021/02/09,2880.0,11.03
2021/02/10,2888.0,11.85
2021/02/11,2833.0,12.8
2021/02/12,2992.0,13.65
2021/02/13,3024.0,13.77
2021/02/14,2911.0,12.97
2021/02/15,2645.0,11.27
2021/02/16,3002.0,12.15
2021/02/17,2824.0,10.13
2021/02/18,2907.0,10.19
2021/02/19,2885.0,10.08
2021/02/20,2975.0,10.86
2021/02/21,3139.0,12.43
2021/02/22,2989.0,10.18
2021/02/23,3109.0,10.39
2021/02/24,3049.0,10.15
2021/02/25,3029.0,10.07
2021/02/26,3041.0,10.23
2021/02/27,2758.0,10.42
2021/02/28,2672.0,10.68
2021/03/01,2832.0,10.66
2021/03/02,3221.0,10.95
2021/03/03,3075.0,10.36
2021/03/04,3088.0,10.37
2021/03/05,3268.0,10.94
2021/03/06,2805.0,10.42
2021/03/07,2752.0,10.67
2021/03/08,3110.0,10.45
2021/03/09,3048.0,10.18
2021/03/10,3055.0,10.22
2021/03/11,3077.0,10.24
2021/03/12,3272.0,10.93
2021/03/13,3075.0,11.48
2021/03/14,2933.0,11.44
2021/03/15,3074.0,10.22
2021/03/16,3087.0,10.06
2021/03/17,3183.0,10.36
2021/03/18,3214.0,10.46
2021/03/19,3137.0,10.16
2021/03/20,2839.0,10.23
2021/03/21,3186.0,12.40
